chapter,label,sheet
F5 ACC Bab 1,Analisis dan Tafsiran,F5 ACC Bab 1.csv
F5 ACC Bab 2 2.2 RTL-Perbandingan,Rekod tak lengkap - Kaedah Perbandingan,F5 ACC Bab 2.2.csv
F5 ACC Bab 2 2.3 RTL-Analisis,Rekod tak lengkap - Kaedah Analisis,F5 ACC Bab 2.3.csv
F5 ACC Bab 3 3.2 Penyata Penyesuaian Tunai,Penyata Penyesuaian Tunai,F5 ACC Bab 3.2.csv
F5 ACC Bab 3 3.3 Belanjawan Tunai,Belanjawan Tunai,F5 ACC Bab 3.3.csv
F4 ACC Bab 4 4.1 Akta Perkongsian 1961,Seksyen 26 Akta Perkongsian 1961,F5 ACC Bab 4 4.1.csv
F4 ACC Bab 4 4.2 Ak Pengasingan UR,Akaun Pengasingan Untung Rugi,F5 ACC Bab 4 4.2.csv
F4 ACC Bab 4 4.3 Ak Semasa,Akaun Semasa,F5 ACC Bab 4 4.3.csv
F4 ACC Bab 4 Perkongsian 常见题,Ikatan Perkongsian,F5 ACC Bab 4 all.csv
F4 ACC Bab 4 4.4 Realisasi,Pembubaran Perkongsian,F5 ACC Bab 4 4.4.csv
F5 ACC Bab 5 私人&公众有限公司,Syarikat Berhad 5.1-5.3,F5 ACC Bab 5 Syarikat Berhad Part 1 A.csv
F5 ACC Bab 5 优先股&普通股,Syarikat Berhad 5.1-5.3,F5 ACC Bab 5 Syarikat Berhad Part 1 B.csv
F5 ACC Bab 5 上市,Syarikat Berhad 5.1-5.3,F5 ACC Bab 5 Syarikat Berhad Part 1 C.csv
F5 ACC Bab 5 5.4 分红,Dividen,F5 ACC Bab 5 Syarikat Berhad Part 2.csv
F5 ACC Bab 6 Ak Yuran,Akaun Yuran,F5 ACC Bab 6 Akaun Yuran.csv
F5 ACC Bab 6 Ak P&P,Akaun Pendapatan dan Perbelanjaan,F5 ACC Bab 6 Akaun Pendapatan dan Perbelanjaan.csv
F5 ACC Bab 6 PKK,Penyata Kedudukan Kewangan,F5 ACC Bab 6 Penyata Kedudukan Kewangan.csv
F5 ACC Bab 6 Ak Kawalan,Akaun Kawalan,F5 ACC Bab 6 Akaun Kawalan.csv
F5 ACC Bab 7 Kos Pengeluaran,Kos Pengeluaran,F5 ACC Bab 7 Kos Pengeluaran.csv
