title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Useful Microorganisms,checkbox,Antibiotic / Antibiotik 用什么做的？,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,"A,E",
,radio,Antibiotic / Antibiotik 用来杀什么？,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,radio,Insulin 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,checkbox,Vaccine / Vaksin 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,"A,B",
,radio,Alcohon drink / Minuman beralkohol 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,E,
,radio,Bread / Roti 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,E,
,radio,Soy sauce / Kicap 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,E,
,radio,String and cloth / Tali dan kain 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,radio,Yogurt 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,radio,Leather / Barangan kulit 是用什么做的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,radio,石油泄漏应该用什么?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,checkbox,Herbivores / Herbivor 是用什么帮助消化的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,"A,D",
,radio,Termite / Anai-anai 是用什么帮助消化的?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,D,
,radio,Leguminous plant / Pokok kekacang 是用什么帮助增加土壤里的营养?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,A,
,checkbox,Decomposer / Pengurai 是哪些微生物?,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,,,"A,E",
