title,type,question,A,B,C,D,E,F,G,H,answer,image
Chemical substances in food processing / Bahan kimia dalam pemprosesan makanan,radio,Prevents growth and reproduction of microorganisms / Mencegah pertumbuhan dan pembiakan mikroorganisma,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,A,
,radio,Makes food look more attractive / Menjadikan makanan kelihatan lebih menarik,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,B,
,radio,Remove unwanted natural colour from food / Menyingkirkan warna asal makanan yang tidak dikehendaki,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,C,
,radio,Improves the taste of food / Meningkatkan rasa makanan,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,D,
,radio,Improves texture and thickens food / Membaiki tekstur dan memekatkan makanan,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,E,
,radio,Sweetens food and drinks / Menjadikan makanan dan minuman lebih manis,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,F,
,radio,Slows down the oxidation of fatty food / Memperlahankan pengoksidaan makanan berlemak,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,G,
,radio,Emulsifies substances which do not mix such as fat and water in food / Mengemulsikan bahan yang tidak bercampur seperti lemak dan air dalam makanan,Preservative / Pengawet,Colouring / Pewarna,Bleach / Peluntur,Flavouring / Perisa,Stabiliser / Penstabil,Sweetener / Pemanis,Antioxidant / Antioksidan,Emulsifier / Pengemulsi,H,
,radio,哪个是全部添加剂都有(除了 Bleach / Peluntur) 对健康的影响？？,Cancer / Kanser,Damages liver and kidney / Merosakkan hati dan ginjal,Food poisoning / Keracunan makanan,Infertility / Kemandulan,Rash and itchy skin / Ruam dan kegatalan kulit,,,,B,
,radio,哪个是全部添加剂都有(除了 Antioxidant / Antioksidan) 对健康的影响？？,Cancer / Kanser,Damages liver and kidney / Merosakkan hati dan ginjal,Food poisoning / Keracunan makanan,Infertility / Kemandulan,Rash and itchy skin / Ruam dan kegatalan kulit,,,,A,
