title,type,question,A,B,C,D,E,F,answer,image
Carbon Compounds,radio,"originate from living things such as animals and plants / berasal daripada benda hidup, iaitu haiwan dan tumbuhan",Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,originate from non living things / berasal daripada benda bukan hidup,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,B,
,radio,Fossil fuel / Bahan api fosil,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,Petroleum,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,Natural gas / Gas asli,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,Coal / Arang batu,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,Silk / Sutera,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,Glucose / Glukosa,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,radio,Carbon dioxide / Karbon dioksida,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,B,
,radio,Calsium carbonate / Kalsium karbonate,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,B,
,radio,Sodium bicarbonate / Natrium bikarbonat  ,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,B,
,radio,Ethanol / Etanol  ,Organic carbon compounds / Sebatian karbon organik,Inorganic carbon compounds / Sebatian karbon bukan organik,,,,,A,
,checkbox,氧气 → 二氧化碳,Respiration / Respirasi,Decomposition / Penguraian,Combustion / Pembakaran,Photosynthesis,,,"A,B,C",
,radio,二氧化碳 → 氧气,Respiration / Respirasi,Decomposition / Penguraian,Combustion / Pembakaran,Photosynthesis,,,D,
