title,type,question,A,B,C,D,E,F,G,H,answer,image
Fat,checkbox,Fat / Lemak 有什么 elements / unsur?,Carbon / Karbon,Oxygen / Oksigen,Hydrogen / Hidrogen,Nitrogen,Helium,,,,"A,B,C",
,radio,originate from animal / berasal daripada haiwan,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,A,
,radio,originate from plant / berasal daripada tumbuhan,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,B,
,radio,liquid state at room temperature / keadaan cecair pada suhu bilik,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,B,
,radio,solid state at room temperature / keadaan pepejal pada suhu bilik,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,A,
,radio,high melting point / takat lebur tinggi,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,A,
,radio,low melting point / takat lebur rendah,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,B,
,radio,not maximum hydrogen atoms / belum maksimum atom hidrogen,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,B,
,radio,maximum hydrogen atoms / maksimum atom hidrogen,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,A,
,radio,not possible addition of hydrogen atom / tidak boleh penambahan atom hidrogen,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,A,
,radio,possible addition of hydrogen atom / boleh penambahan atom hidrogen,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,B,
,radio,low cholesterol level / paras kolesterol rendah,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,B,
,radio,high cholesterol level / paras kolesterol tinggi,Saturated fat / Lemak tepu,Unsaturated fat / Lemak tak tepu,,,,,,,A,
