title,type,question,A,B,C,D,E,,,answer,image
Human pulse rate based on gender / Kadar denyutan nadi manusia berdasarkan jantina,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,,A,
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,,B,
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,,"C,D,E",
,radio,Factor that changed / Faktor yang diubah,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,,A,
,radio,Factor that observed / Faktor yang diperhatikan,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,,B,
,radio,Factor that fixed / Faktor yang ditetapkan,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,,"C,D,E",
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Make sure the gender of student is different / Pastikan jantina murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the age of student is same / Pastikan umur murid adalah sama,Make sure the type of physical activity is same / Pastikan jenis aktiviti fizikal adalah sama,,,,A,
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Make sure the gender of student is different / Pastikan jantina murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the age of student is same / Pastikan umur murid adalah sama,Make sure the type of physical activity is same / Pastikan jenis aktiviti fizikal adalah sama,,,,B,
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Make sure the gender of student is different / Pastikan jantina murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the age of student is same / Pastikan umur murid adalah sama,Make sure the type of physical activity is same / Pastikan jenis aktiviti fizikal adalah sama,,,,"C,D",
,radio,Aim / Tujuan 怎么写?,To study the effect of gender on the human pulse rate / Untuk mengkaji kesan jantina terhadap kadar denyutan nadi,Does the gender affect the pulse rate? / Adakah jantina mempengaruhi kadar denyutan nadi?,Female have higher pulse rate compared to males / Perempuan mempunyai kadar denyutan nadi lebih tinggi berbanding dengan lelaki,,,,,A,
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of gender on the human pulse rate / Untuk mengkaji kesan jantina terhadap kadar denyutan nadi,Does the gender affect the pulse rate? / Adakah jantina mempengaruhi kadar denyutan nadi?,Female have higher pulse rate compared to males / Perempuan mempunyai kadar denyutan nadi lebih tinggi berbanding dengan lelaki,,,,,B,
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of gender on the human pulse rate / Untuk mengkaji kesan jantina terhadap kadar denyutan nadi,Does the gender affect the pulse rate? / Adakah jantina mempengaruhi kadar denyutan nadi?,Female have higher pulse rate compared to males / Perempuan mempunyai kadar denyutan nadi lebih tinggi berbanding dengan lelaki,,,,,C,
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of gender on the human pulse rate / Untuk mengkaji kesan jantina terhadap kadar denyutan nadi,Does the gender affect the pulse rate? / Adakah jantina mempengaruhi kadar denyutan nadi?,Female have higher pulse rate compared to males / Perempuan mempunyai kadar denyutan nadi lebih tinggi berbanding dengan lelaki,,,,,C,
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,,,,A,
