title,type,question,A,B,C,D,E,E,F,G,answer,image
Effect of temperature on bacteria growth / Kesan suhu terhadap pertumbuhan bakteria,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,A,experiment_11.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,B,experiment_11.png
,checkbox,Constant Variable / Pemboleh ubah dimalarkan 是,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,"C,D,E,F,G",experiment_11.png
,radio,Factor that changed / Faktor yang diubah,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,A,experiment_11.png
,radio,Factor that observed / Faktor yang diperhatikan,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,B,experiment_11.png
,checkbox,Factor that fixed / Faktor yang ditetapkan,Temperature / Suhu,Growth of bacteria / Pertumbuhan bakteria,Volume of bacteria culture solution / Isi padu larutan kultur bakteria,pH value / Nilai pH,,Presence of light / Kehadiran cahaya,Humidity / Kelembapan,Presence of nutrient / Kehadiran nutrien,"C,D,E,F,G",experiment_11.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different temperature / Gunakan suhu yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,,A,experiment_11.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different temperature / Gunakan suhu yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,,B,experiment_11.png
,checkbox,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different temperature / Gunakan suhu yang berbeza,Count the number of bacteria colonies / Kira bilangan koloni bakteria,Use the same volume of bacteria culture solution / Gunakan isi padu larutan kultur bakteria yang sama panjang,Make sure the pH value is same / Pastikan nilai pH adalah sama,,,,,"C,D",experiment_11.png
,radio,Aim / Tujuan 怎么写?,To study the effect of temperature on growth of bacteria / Untuk mengkaji kesan suhu terhadap pertumbuhan bakteria,What is the effect of temperature on the growth of bacteria? / Apakah kesan suhu terhadap pertumbuhan bakteria?,Does the temperature affect the bacteria growth? / Adakah suhu mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at room temperature / Pertumbuhan bakteria adalah paling pesat pada suhu bilik,,,,,A,experiment_11.png
,checkbox,Problem statement / Pernyataan masalah 怎么写?,To study the effect of temperature on growth of bacteria / Untuk mengkaji kesan suhu terhadap pertumbuhan bakteria,What is the effect of temperature on the growth of bacteria? / Apakah kesan suhu terhadap pertumbuhan bakteria?,Does the temperature affect the bacteria growth? / Adakah suhu mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at room temperature / Pertumbuhan bakteria adalah paling pesat pada suhu bilik,,,,,"B,C",experiment_11.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of temperature on growth of bacteria / Untuk mengkaji kesan suhu terhadap pertumbuhan bakteria,What is the effect of temperature on the growth of bacteria? / Apakah kesan suhu terhadap pertumbuhan bakteria?,Does the temperature affect the bacteria growth? / Adakah suhu mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at room temperature / Pertumbuhan bakteria adalah paling pesat pada suhu bilik,,,,,D,experiment_11.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of temperature on growth of bacteria / Untuk mengkaji kesan suhu terhadap pertumbuhan bakteria,What is the effect of temperature on the growth of bacteria? / Apakah kesan suhu terhadap pertumbuhan bakteria?,Does the temperature affect the bacteria growth? / Adakah suhu mempengaruhi pertumbuhan bakteria?,Growth of bacteria is the most at room temperature / Pertumbuhan bakteria adalah paling pesat pada suhu bilik,,,,,D,experiment_11.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,,,D,experiment_11.png
,radio,为什么 Petri dish / Piring petri 要 倒反放 / inverted / diterbalikkan ？,To prevent the condensation of water / Untuk mengelakkan kondensasi air,To prevent the evaporation of water / Untuk mengelakkan penyejatan air,To prevent the growth of bacteria / Untuk mengelakkan pertumbuhan bakteria,To prevent the growth of algae / Untuk mengelakkan pertumbuhan alga,,,,,A,experiment_11.png
