title,type,question,A,B,C,D,E,F,answer,image
Effect of antibiotic on bacteria growth / Kesan antibiotik terhadap pertumbuhan bakteria,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Concentration of antibiotic / Kepekatan antibiotik,Diameter of clear region / Diameter kawasan jirnih,Type of bacteria / Jenis bakteria,Size of filter paper / Saiz kertas turas,,,A,experiment_13.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Concentration of antibiotic / Kepekatan antibiotik,Diameter of clear region / Diameter kawasan jirnih,Type of bacteria / Jenis bakteria,Size of filter paper / Saiz kertas turas,,,B,experiment_13.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Concentration of antibiotic / Kepekatan antibiotik,Diameter of clear region / Diameter kawasan jirnih,Type of bacteria / Jenis bakteria,Size of filter paper / Saiz kertas turas,,,"C,D",experiment_13.png
,radio,Factor that changed / Faktor yang diubah,Concentration of antibiotic / Kepekatan antibiotik,Diameter of clear region / Diameter kawasan jirnih,Type of bacteria / Jenis bakteria,Size of filter paper / Saiz kertas turas,,,A,experiment_13.png
,radio,Factor that observed / Faktor yang diperhatikan,Concentration of antibiotic / Kepekatan antibiotik,Diameter of clear region / Diameter kawasan jirnih,Type of bacteria / Jenis bakteria,Size of filter paper / Saiz kertas turas,,,B,experiment_13.png
,radio,Factor that fixed / Faktor yang ditetapkan,Concentration of antibiotic / Kepekatan antibiotik,Diameter of clear region / Diameter kawasan jirnih,Type of bacteria / Jenis bakteria,Size of filter paper / Saiz kertas turas,,,"C,D",experiment_13.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different concentration of antibiotic / Gunakan kepekatan antibiotik yang berbeza,Use ruler to measure the diameter of clear region / Gunakan pembaris untuk mengukur diameter kawasan jernih,Use the same type of bacteria / Gunakan jenis bakteria yang sama,Use the same size of filter paper / Gunakan saiz kertas turas yang sama,,,A,experiment_13.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different concentration of antibiotic / Gunakan kepekatan antibiotik yang berbeza,Use ruler to measure the diameter of clear region / Gunakan pembaris untuk mengukur diameter kawasan jernih,Use the same type of bacteria / Gunakan jenis bakteria yang sama,Use the same size of filter paper / Gunakan saiz kertas turas yang sama,,,B,experiment_13.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different concentration of antibiotic / Gunakan kepekatan antibiotik yang berbeza,Use ruler to measure the diameter of clear region / Gunakan pembaris untuk mengukur diameter kawasan jernih,Use the same type of bacteria / Gunakan jenis bakteria yang sama,Use the same size of filter paper / Gunakan saiz kertas turas yang sama,,,"C,D",experiment_13.png
,radio,Aim / Tujuan 怎么写?,To study the effect of concentration of antibiotic on diameter of clear region / Untuk mengkaji kesan kepekatan antibiotik terhadap diameter kawasan jernih,What is the effect of concentration of antibiotic on the diameter of clear region? / Apakah kesan kepekatan antibiotik terhadap diameter kawasan jernih?,Does the concentration of antibiotic affect the diameter of clear region? / Adakah kepekatan antibiotik mempengaruhi diameter kawasan jernih?,"The higher the concentration of antibiotic, the lower the growth of bacteria / Semakin tinggi kepekatan antibiotik, semakin rendah pertumbuhan bakteria","The higher the concentration of antibiotic, the smaller the diameter of clear region / Semakin tinggi kepekatan antibiotik, semakin kecil diameter kawasan jernih",,A,experiment_13.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of concentration of antibiotic on diameter of clear region / Untuk mengkaji kesan kepekatan antibiotik terhadap diameter kawasan jernih,What is the effect of concentration of antibiotic on the diameter of clear region? / Apakah kesan kepekatan antibiotik terhadap diameter kawasan jernih?,Does the concentration of antibiotic affect the diameter of clear region? / Adakah kepekatan antibiotik mempengaruhi diameter kawasan jernih?,"The higher the concentration of antibiotic, the lower the growth of bacteria / Semakin tinggi kepekatan antibiotik, semakin rendah pertumbuhan bakteria","The higher the concentration of antibiotic, the smaller the diameter of clear region / Semakin tinggi kepekatan antibiotik, semakin kecil diameter kawasan jernih",,"B,C",experiment_13.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of concentration of antibiotic on diameter of clear region / Untuk mengkaji kesan kepekatan antibiotik terhadap diameter kawasan jernih,What is the effect of concentration of antibiotic on the diameter of clear region? / Apakah kesan kepekatan antibiotik terhadap diameter kawasan jernih?,Does the concentration of antibiotic affect the diameter of clear region? / Adakah kepekatan antibiotik mempengaruhi diameter kawasan jernih?,"The higher the concentration of antibiotic, the lower the growth of bacteria / Semakin tinggi kepekatan antibiotik, semakin rendah pertumbuhan bakteria","The higher the concentration of antibiotic, the smaller the diameter of clear region / Semakin tinggi kepekatan antibiotik, semakin kecil diameter kawasan jernih",,"D,E",experiment_13.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of concentration of antibiotic on diameter of clear region / Untuk mengkaji kesan kepekatan antibiotik terhadap diameter kawasan jernih,What is the effect of concentration of antibiotic on the diameter of clear region? / Apakah kesan kepekatan antibiotik terhadap diameter kawasan jernih?,Does the concentration of antibiotic affect the diameter of clear region? / Adakah kepekatan antibiotik mempengaruhi diameter kawasan jernih?,"The higher the concentration of antibiotic, the lower the growth of bacteria / Semakin tinggi kepekatan antibiotik, semakin rendah pertumbuhan bakteria","The higher the concentration of antibiotic, the smaller the diameter of clear region / Semakin tinggi kepekatan antibiotik, semakin kecil diameter kawasan jernih",Filter paper disc with 30% penicillin solution has the highest diameter of clear area / Cakera kertas turas dengan larutan penisilin 30% mempunyai diameter kawasan jernih tertinggi,F,experiment_13.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Petri dish / Piring petri,Test tube / Tabung uji,,D,experiment_13.png
