title,type,question,A,B,C,D,E,F,G,answer,image
Effect of temperature on the rate of reaction / Kesan suhu ke atas kadar tindak balas,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Temperature of sodium thiosulphate solution / Suhu larutan natrium tiosulfat,Time taken untuk 'X' is no longer visible / Masa yang diambil untuk tanda X tidak kelihatan,Volume of sodium thiosulphate solution / Isi padu larutan natrium tiosulfat,Rate of reaction / Kadar tindak balas,Volume of sulphuric acid / Isi padu asid sulfurik,Concentration of sulphuric acid / Kepekatan asid sulfurik,,A,experiment_16.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Temperature of sodium thiosulphate solution / Suhu larutan natrium tiosulfat,Time taken untuk 'X' is no longer visible / Masa yang diambil untuk tanda X tidak kelihatan,Volume of sodium thiosulphate solution / Isi padu larutan natrium tiosulfat,Rate of reaction / Kadar tindak balas,Volume of sulphuric acid / Isi padu asid sulfurik,Concentration of sulphuric acid / Kepekatan asid sulfurik,,"B,D",experiment_16.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Temperature of sodium thiosulphate solution / Suhu larutan natrium tiosulfat,Time taken untuk 'X' is no longer visible / Masa yang diambil untuk tanda X tidak kelihatan,Volume of sodium thiosulphate solution / Isi padu larutan natrium tiosulfat,Rate of reaction / Kadar tindak balas,Volume of sulphuric acid / Isi padu asid sulfurik,Concentration of sulphuric acid / Kepekatan asid sulfurik,,"C,E,F",experiment_16.png
,radio,Factor that changed / Faktor yang diubah,Temperature of sodium thiosulphate solution / Suhu larutan natrium tiosulfat,Time taken untuk 'X' is no longer visible / Masa yang diambil untuk tanda X tidak kelihatan,Volume of sodium thiosulphate solution / Isi padu larutan natrium tiosulfat,Rate of reaction / Kadar tindak balas,Volume of sulphuric acid / Isi padu asid sulfurik,Concentration of sulphuric acid / Kepekatan asid sulfurik,,A,experiment_16.png
,radio,Factor that observed / Faktor yang diperhatikan,Temperature of sodium thiosulphate solution / Suhu larutan natrium tiosulfat,Time taken untuk 'X' is no longer visible / Masa yang diambil untuk tanda X tidak kelihatan,Volume of sodium thiosulphate solution / Isi padu larutan natrium tiosulfat,Rate of reaction / Kadar tindak balas,Volume of sulphuric acid / Isi padu asid sulfurik,Concentration of sulphuric acid / Kepekatan asid sulfurik,,"B,D",experiment_16.png
,radio,Factor that fixed / Faktor yang ditetapkan,Temperature of sodium thiosulphate solution / Suhu larutan natrium tiosulfat,Time taken untuk 'X' is no longer visible / Masa yang diambil untuk tanda X tidak kelihatan,Volume of sodium thiosulphate solution / Isi padu larutan natrium tiosulfat,Rate of reaction / Kadar tindak balas,Volume of sulphuric acid / Isi padu asid sulfurik,Concentration of sulphuric acid / Kepekatan asid sulfurik,,"C,E,F",experiment_16.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different temperature of sodium thiosulphate solution / Gunakan suhu larutan natrium tiosulfat yang berbeza,Measure the time taken untuk 'X' is no longer visible by using stopwatch / Mengukur masa yang diambil untuk tanda X tidak kelihatan dengan jam randik,Use the same volume of culture solution / Gunakan isi padu larutan kultur yang sama,Use the same concentration of sulphuric acid  / Gunakan kepekatan asid sulfurik yang sama,,,,A,experiment_16.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different temperature of sodium thiosulphate solution / Gunakan suhu larutan natrium tiosulfat yang berbeza,Measure the time taken untuk 'X' is no longer visible by using stopwatch / Mengukur masa yang diambil untuk tanda X tidak kelihatan dengan jam randik,Use the same volume of culture solution / Gunakan isi padu larutan kultur yang sama,Use the same concentration of sulphuric acid  / Gunakan kepekatan asid sulfurik yang sama,,,,B,experiment_16.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different temperature of sodium thiosulphate solution / Gunakan suhu larutan natrium tiosulfat yang berbeza,Measure the time taken untuk 'X' is no longer visible by using stopwatch / Mengukur masa yang diambil untuk tanda X tidak kelihatan dengan jam randik,Use the same volume of culture solution / Gunakan isi padu larutan kultur yang sama,Use the same concentration of sulphuric acid  / Gunakan kepekatan asid sulfurik yang sama,,,,"C,D",experiment_16.png
,radio,Aim / Tujuan 怎么写?,To study the effect of temperature of reactants on the rate of reaction / Untuk mengkaji kesan suhu bahan tindak balas terhadap kadar tindak balas tumbuhan,What is the effect of  temperature of reactants on the rate of reaction? / Apakah kesan suhu bahan tindak balas terhadap kadar tindak balas?,Does the temperature of reactants affect the rate of reaction? / Adakah suhu bahan tindak balas mempengaruhi kadar tindak balas?,"The higher the temperature of reactants, the higher the rate of reaction / Semakin tinggi suhu bahan tindak balas, semakin tinggi kadar tindak balas",,,,A,experiment_16.png
