title,type,question,A,B,C,D,E,,answer,image
Human pulse rate based on age / Kadar denyutan nadi manusia berdasarkan umur,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,D,
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,B,
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,"A,C,E",
,radio,Factor that changed / Faktor yang diubah,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,D,
,radio,Factor that observed / Faktor yang diperhatikan,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,B,
,radio,Factor that fixed / Faktor yang ditetapkan,Gender / Jantina,Pulse rate / Kadar denyutan nadi,Time period / Tempoh masa,Age / Umur,Type of physical activity / Jenis aktiviti fizikal,,"A,C,E",
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Make sure the age of student is different / Pastikan umur murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the gender of student is same / Pastikan jantina murid adalah sama,Make sure the type of physical activity is same / Pastikan jenis aktiviti fizikal adalah sama,,,A,
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Make sure the age of student is different / Pastikan umur murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the gender of student is same / Pastikan jantina murid adalah sama,Make sure the type of physical activity is same / Pastikan jenis aktiviti fizikal adalah sama,,,B,
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Make sure the age of student is different / Pastikan umur murid adalah berbeza,Measure the pulse rate by using stopwatch / Mengukur kadar denyutan nadi dengan menggunakan jam randik,Make sure the gender of student is same / Pastikan jantina murid adalah sama,Make sure the type of physical activity is same / Pastikan jenis aktiviti fizikal adalah sama,,,"C,D",
,radio,Aim / Tujuan 怎么写?,To study the effect of age on the human pulse rate / Untuk mengkaji kesan umur terhadap kadar denyutan nadi,Does the age affect the pulse rate? / Adakah umur mempengaruhi kadar denyutan nadi?,"The older the person, the lower the pulse rate / Semakin tua seorang, semakin rendah kadar denyutan nadi",Old people has lower pulse rate than young people / Orang tua mempunyai kadar nadi yang lebih rendah berbanding orang muda,,,A,
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of age on the human pulse rate / Untuk mengkaji kesan umur terhadap kadar denyutan nadi,Does the age affect the pulse rate? / Adakah umur mempengaruhi kadar denyutan nadi?,"The older the person, the lower the pulse rate / Semakin tua seorang, semakin rendah kadar denyutan nadi",Old people has lower pulse rate than young people / Orang tua mempunyai kadar nadi yang lebih rendah berbanding orang muda,,,B,
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of age on the human pulse rate / Untuk mengkaji kesan umur terhadap kadar denyutan nadi,Does the age affect the pulse rate? / Adakah umur mempengaruhi kadar denyutan nadi?,"The older the person, the lower the pulse rate / Semakin tua seorang, semakin rendah kadar denyutan nadi",Old people has lower pulse rate than young people / Orang tua mempunyai kadar nadi yang lebih rendah berbanding orang muda,,,"C,D",
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of age on the human pulse rate / Untuk mengkaji kesan umur terhadap kadar denyutan nadi,Does the age affect the pulse rate? / Adakah umur mempengaruhi kadar denyutan nadi?,"The older the person, the lower the pulse rate / Semakin tua seorang, semakin rendah kadar denyutan nadi",Old people has lower pulse rate than young people / Orang tua mempunyai kadar nadi yang lebih rendah berbanding orang muda,,,D,
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,,,A,
