title,type,question,A,B,C,D,E,F,answer,image
Growth pattern of a plant / Pola pertumbuhan tumbuhan,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Time / Masa,The height of the seedlings / Ketinggian anak benih,Type of seedlings / Jenis anak benih,Growth of the seedlings / Pertumbuhan anak benih,Presence of light / Kehadiran cahaya,,A,experiment_4.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Time / Masa,The height of the seedlings / Ketinggian anak benih,Type of seedlings / Jenis anak benih,Growth of the seedlings / Pertumbuhan anak benih,Presence of light / Kehadiran cahaya,,"B,D",experiment_4.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Time / Masa,The height of the seedlings / Ketinggian anak benih,Type of seedlings / Jenis anak benih,Growth of the seedlings / Pertumbuhan anak benih,Presence of light / Kehadiran cahaya,,"C,E",experiment_4.png
,radio,Factor that changed / Faktor yang diubah,Time / Masa,The height of the seedlings / Ketinggian anak benih,Type of seedlings / Jenis anak benih,Growth of the seedlings / Pertumbuhan anak benih,Presence of light / Kehadiran cahaya,,A,experiment_4.png
,radio,Factor that observed / Faktor yang diperhatikan,Time / Masa,The height of the seedlings / Ketinggian anak benih,Type of seedlings / Jenis anak benih,Growth of the seedlings / Pertumbuhan anak benih,Presence of light / Kehadiran cahaya,,"B,D",experiment_4.png
,radio,Factor that fixed / Faktor yang ditetapkan,Time / Masa,The height of the seedlings / Ketinggian anak benih,Type of seedlings / Jenis anak benih,Growth of the seedlings / Pertumbuhan anak benih,Presence of light / Kehadiran cahaya,,"C,E",experiment_4.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Measure the height of seedlings at the same time every 24 hours / Ukur ketinggian anak benih pada masa yang sama setiap 24 jam,Measure the height of seedlings by using same ruler / Ukur ketinggian anak benih dengan menggunakan pembaris yang sama,Use the same type of seedlings / Gunakan jenis anak benih yang sama,,,,A,experiment_4.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Measure the height of seedlings at the same time every 24 hours / Ukur ketinggian anak benih pada masa yang sama setiap 24 jam,Measure the height of seedlings by using same ruler / Ukur ketinggian anak benih dengan menggunakan pembaris yang sama,Use the same type of seedlings / Gunakan jenis anak benih yang sama,,,,B,experiment_4.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Measure the height of seedlings at the same time every 24 hours / Ukur ketinggian anak benih pada masa yang sama setiap 24 jam,Measure the height of seedlings by using same ruler / Ukur ketinggian anak benih dengan menggunakan pembaris yang sama,Use the same type of seedlings / Gunakan jenis anak benih yang sama,,,,C,experiment_4.png
,radio,Aim / Tujuan 怎么写?,To study the effect of time on the growth of seedlings / Untuk mengkaji kesan masa terhadap pertumbuhan anak benih,Does the time affect the height of seedlings? / Adakah masa mempengaruhi ketinggian anak benih?,What is the growth pattern of seedlings? / Apakah pola pertumbuhan anak benih?,The growth pattern for seedlings is sigmoid-shape / Pola pertumbuhan bagi anak benih adalah berbentuk sigmoid,To study the growth pattern of seedlings / Untuk mengkaji pola pertumbuhan anak benih,"As time increase, the height of seedling increase / Semakin bertambah masa, semakin bertambah ketinggian anak benih","A,E",experiment_4.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of time on the growth of seedlings / Untuk mengkaji kesan masa terhadap pertumbuhan anak benih,Does the time affect the height of seedlings? / Adakah masa mempengaruhi ketinggian anak benih?,What is the growth pattern of seedlings? / Apakah pola pertumbuhan anak benih?,The growth pattern for seedlings is sigmoid-shape / Pola pertumbuhan bagi anak benih adalah berbentuk sigmoid,To study the growth pattern of seedlings / Untuk mengkaji pola pertumbuhan anak benih,"As time increase, the height of seedling increase / Semakin bertambah masa, semakin bertambah ketinggian anak benih","B,C",experiment_4.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of time on the growth of seedlings / Untuk mengkaji kesan masa terhadap pertumbuhan anak benih,Does the time affect the height of seedlings? / Adakah masa mempengaruhi ketinggian anak benih?,What is the growth pattern of seedlings? / Apakah pola pertumbuhan anak benih?,The growth pattern for seedlings is sigmoid-shape / Pola pertumbuhan bagi anak benih adalah berbentuk sigmoid,To study the growth pattern of seedlings / Untuk mengkaji pola pertumbuhan anak benih,"As time increase, the height of seedling increase / Semakin bertambah masa, semakin bertambah ketinggian anak benih","D,F",experiment_4.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,,,B,experiment_4.png
