title,type,question,A,B,C,D,E,answer,image
Hollow bone vs compact bone / Tulang berongga vs tulang padat,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Type of cylinder / Jenis silinder,Number of textbooks that can be supported / Bilangan buku teks yang boleh disokong,Length of cylinder / Panjang silinder,Diameter of cylinder / Diameter silinder,,A,experiment_4.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Type of cylinder / Jenis silinder,Number of textbooks that can be supported / Bilangan buku teks yang boleh disokong,Length of cylinder / Panjang silinder,Diameter of cylinder / Diameter silinder,,B,experiment_4.png
,radio,Constant Variable / Pemboleh ubah dimalarkan 是,Type of cylinder / Jenis silinder,Number of textbooks that can be supported / Bilangan buku teks yang boleh disokong,Length of cylinder / Panjang silinder,Diameter of cylinder / Diameter silinder,,"C,D",experiment_4.png
,radio,Factor that changed / Faktor yang diubah,Type of cylinder / Jenis silinder,Number of textbooks that can be supported / Bilangan buku teks yang boleh disokong,Length of cylinder / Panjang silinder,Diameter of cylinder / Diameter silinder,,A,experiment_4.png
,radio,Factor that observed / Faktor yang diperhatikan,Type of cylinder / Jenis silinder,Number of textbooks that can be supported / Bilangan buku teks yang boleh disokong,Length of cylinder / Panjang silinder,Diameter of cylinder / Diameter silinder,,B,experiment_4.png
,radio,Factor that fixed / Faktor yang ditetapkan,Type of cylinder / Jenis silinder,Number of textbooks that can be supported / Bilangan buku teks yang boleh disokong,Length of cylinder / Panjang silinder,Diameter of cylinder / Diameter silinder,,"C,D",experiment_4.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different type of cylinder / Gunakan jenis silinder yang berbeza,Count the number of textbooks that can be supported / Mengira bilangan buku teks yang boleh disokong,Use the same length of cylinder / Gunakan panjang silinder yang sama,Use the same diameter of cylinder / Gunakan diameter silinder yang sama,,A,experiment_4.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different type of cylinder / Gunakan jenis silinder yang berbeza,Count the number of textbooks that can be supported / Mengira bilangan buku teks yang boleh disokong,Use the same length of cylinder / Gunakan panjang silinder yang sama,Use the same diameter of cylinder / Gunakan diameter silinder yang sama,,B,experiment_4.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different type of cylinder / Gunakan jenis silinder yang berbeza,Count the number of textbooks that can be supported / Mengira bilangan buku teks yang boleh disokong,Use the same length of cylinder / Gunakan panjang silinder yang sama,Use the same diameter of cylinder / Gunakan diameter silinder yang sama,,"C,D",experiment_4.png
,radio,Aim / Tujuan 怎么写?,To study the effect of type of cylinder on the number of textbooks can be supported / Untuk mengkaji kesan jenis silinder terhadap bilangan buku teks yang boleh disokong,Does the type of cylinder affect the number of textbooks can be supported? / Adakah jenis silinder mempengaruhi bilangan buku teks yang boleh disokong?,Is hollow bone stronger than compact bone? / Ada tulang berongga lebih kuat daripada tulang yang padat?,Hollow bone stronger than compact bone / Tulang berongga lebih kuat daripada tulang yang padat,,A,experiment_4.png
,radio,Problem statement / Pernyataan masalah 怎么写?,To study the effect of type of cylinder on the number of textbooks can be supported / Untuk mengkaji kesan jenis silinder terhadap bilangan buku teks yang boleh disokong,Does the type of cylinder affect the number of textbooks can be supported? / Adakah jenis silinder mempengaruhi bilangan buku teks yang boleh disokong?,Is hollow bone stronger than compact bone? / Ada tulang berongga lebih kuat daripada tulang yang padat?,Hollow bone stronger than compact bone / Tulang berongga lebih kuat daripada tulang yang padat,,"B,C",experiment_4.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of type of cylinder on the number of textbooks can be supported / Untuk mengkaji kesan jenis silinder terhadap bilangan buku teks yang boleh disokong,Does the type of cylinder affect the number of textbooks can be supported? / Adakah jenis silinder mempengaruhi bilangan buku teks yang boleh disokong?,Is hollow bone stronger than compact bone? / Ada tulang berongga lebih kuat daripada tulang yang padat?,Hollow bone stronger than compact bone / Tulang berongga lebih kuat daripada tulang yang padat,,D,experiment_4.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of type of cylinder on the number of textbooks can be supported / Untuk mengkaji kesan jenis silinder terhadap bilangan buku teks yang boleh disokong,Does the type of cylinder affect the number of textbooks can be supported? / Adakah jenis silinder mempengaruhi bilangan buku teks yang boleh disokong?,Is hollow bone stronger than compact bone? / Ada tulang berongga lebih kuat daripada tulang yang padat?,Hollow bone stronger than compact bone / Tulang berongga lebih kuat daripada tulang yang padat,Hollow cylinder can support more textbooks than compact bone / Silinder berongga boleh sokong lebih banyak buku teks daripada silinder yang padat,E,experiment_4.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,,D,experiment_4.png
